Shop Name,Phone Number
ইলুকস,01913-999943
Basic Technologies,01916-626248
জামানেস ল্যাপটপ,01752-986720
গ্যাজেটস প্ল্যানেট,01714-112500
Vertech - Bashundhara City Branch,01810-023514
কম্পিউটার মানিয়া বিডি,
ডিসকভার ইট (মাল্টিপ্ল্যান ব্রাঞ্চ) - এইচপি পার্টনার,01713-078270
বাংলাদেশ ল্যাপটপ গ্যালারি,01687-321007
উইট,01713-016513
টেকল্যান্ড - বিডি।।,
স্টার টেক,01709-995543
আমারপিসি,
কম্পিউটার সিটি টেকনোলজিস লিঃ,
তাহা আইটি লিংক,01717-965582
বেঙ্গলপিসি,01974-492909
পিসি হাউস,01912-167988
Area 51,01734-618965
"ড্যাফোডিল কম্পিউটারস লিমিটেড, ধানমন্ডি ব্রাঞ্চ",01713-493184
কম্পিউটার ভিলেজ - মাল্টিপ্ল্যান ব্রাঞ্চ,
রায়ান্স কম্পিউটারস,01755-513981
𝗔𝗕𝗡 𝗧𝗲𝗰𝗵𝗻𝗼𝗹𝗼𝗴𝘆 | 𝗕𝗲𝘀𝘁 𝗨𝘀𝗲𝗱 𝗟𝗮𝗽𝘁𝗼𝗽 𝗦𝗵𝗼𝗽 𝗶𝗻 𝗗𝗵𝗮𝗸𝗮,01322-992004
2Iny Gadget Lab,01764-099038
গ্যাজেট 360 ডিগ্রী - বসুন্ধরা সিটি,01609-680525
রেড আপেল কম্পিউটারস,01670-000036
এমসি সলিউশন বিডি ( বাসুন্ধরা সিটি ব্রাঞ্চ ),01770-328858
এপ্ল্যানেট,01712-619867
RAY TECHNOLOGY,01537-485408
সেল টেক বিডি,01759-546431
প্রুভেন কম্পিউটার,01721-210243
ড্যাফডিল কম্পিউটার্স লিমিটেড,01713-493161
পিসি এইড,01716-618001
রাজ ল্যাপটপ গ্যালারি,01748-261551
ল্যাপটপ ড্রিম,01912-627028
"কম্পিউটার আর্কাইভস ই ট্রাস্টেড অ্যান্ড রিলায়েবল কম্পিউটার, ল্যাপটপ & গেমিং পিসি রিটেইল শপ ইন বাংলাদেশ",01917-312270
আইকনিক ল্যাপটপ পয়েন্ট,01812-527474
নেটিভ টেকনোলজি,01783-699973
নেক্সাস কম্পিউটার ~ আইডিবি,
ল্যাপটপ বিডি,01838-994422
সর্দার টেক | ইউজড ল্যাপটপ শপ ইন ঢাকা,01733-449239
আইসেন্টার ধানমন্ডি,01678-750350
প্যানারোমা কম্পিউটার,01674-176397
নিউ নেটওয়ার্ক & টেকনোলজি,01618-871169
tech city,01907-931108
PC Geek BD,01763-322100
আই.টি এক্সেস,01813-388994
Computer Studio,
